List of Chess Openings:
==================================================

1. Alekhine_Defense,Alekhine_Defense_Balogh_Variation
103. Bishops_Opening,Bishops_Opening_Kitchener_Folly
104. Bishops_Opening,Bishops_Opening_Lewis_Gambit
105. Bishops_Opening,Bishops_Opening_Lopez_Variation
106. Bishops_Opening,Bishops_Opening_McDonnell_Gambit
107. Bishops_Opening,Bishops_Opening_Other_variations
108. Bishops_Opening,Bishops_Opening_Pachman_Gambit
109. Bishops_Opening,Bishops_Opening_Philidor_Counterattack
110. Bishops_Opening,Bishops_Opening_Philidor_Variation
111. Bishops_Opening,Bishops_Opening_Ponziani_Gambit
112. Bishops_Opening,Bishops_Opening_Stein_Gambit
113. Bishops_Opening,Bishops_Opening_Urusov_Gambit
114. Bishops_Opening,Bishops_Opening_Vienna_Hybrid
115. Bishops_Opening,Bishops_Opening_Warsaw_Gambit
116. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Bogoljubov_Variation
117. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Diemer-Rosenberg_Attack
118. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Euwe_Defense
119. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Fritz_Attack
120. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Gedult_Gambit
121. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Kaulich_Defense
122. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Lemberger_Countergambit
123. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Netherlands_Variation
124. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Other_variations
125. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Pietrowsky_Defense
126. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Rasa-Studier_Gambit
127. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Ritter_Defense
128. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Ryder_Gambit
129. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Tartakower_Variation
130. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Teichmann_Variation
131. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Vienna_Variation
132. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Zeller_Defense
133. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_Ziegler_Defense
134. Blackmar-Diemer_Gambit,Blackmar-Diemer_Gambit_von_Popiel_Gambit
135. Blackmar-Diemer_Gambit_Declined,Blackmar-Diemer_Gambit_Declined_Brombacher_Countergambit
136. Blackmar-Diemer_Gambit_Declined,Blackmar-Diemer_Gambit_Declined_Elbert_Countergambit
137. Blackmar-Diemer_Gambit_Declined,Blackmar-Diemer_Gambit_Declined_Lamb_Defense
138. Blackmar-Diemer_Gambit_Declined,Blackmar-Diemer_Gambit_Declined_Langeheinecke_Defense
139. Blackmar-Diemer_Gambit_Declined,Blackmar-Diemer_Gambit_Declined_OKelly_Defense
140. Blackmar-Diemer_Gambit_Declined,Blackmar-Diemer_Gambit_Declined_Weinsbach_Declination
141. Blumenfeld_Countergambit,Blumenfeld_Countergambit_Dus-Khotimirsky_Variation
142. Blumenfeld_Countergambit,Blumenfeld_Countergambit_Other_variations
143. Blumenfeld_Countergambit,Blumenfeld_Countergambit_Spielmann_Variation
144. Blumenfeld_Countergambit_Accepted,Blumenfeld_Countergambit_Accepted_Other_variations
145. Bogo-Indian_Defense,Bogo-Indian_Defense_Exchange_Variation
146. Bogo-Indian_Defense,Bogo-Indian_Defense_Grunfeld_Variation
147. Bogo-Indian_Defense,Bogo-Indian_Defense_Haiti_Variation
148. Bogo-Indian_Defense,Bogo-Indian_Defense_New_England_Variation
149. Bogo-Indian_Defense,Bogo-Indian_Defense_Nimzowitsch_Variation
150. Bogo-Indian_Defense,Bogo-Indian_Defense_Other_variations
151. Bogo-Indian_Defense,Bogo-Indian_Defense_Retreat_Variation
152. Bogo-Indian_Defense,Bogo-Indian_Defense_Vitolins_Variation
153. Bogo-Indian_Defense,Bogo-Indian_Defense_Wade-Smyslov_Variation
